Rank,Word,Frequency
1,and,1050
2,the,990
3,to,719
4,of,691
5,student,520
6,a,460
7,in,431
8,for,346
9,&,327
10,you,267
11,your,234
12,appli,233
13,visit,225
14,or,221
15,inform,209
16,univers,204
17,our,202
18,program,189
19,with,189
20,at,184
21,give,179
22,pomona,172
23,colleg,171
24,about,170
25,academ,166
26,is,165
27,campu,161
28,new,160
29,us,153
30,info,149
31,by,147
32,we,142
33,cpp,140
34,on,140
35,mycpp,137
36,scienc,136
37,poli,131
38,california,128
39,state,128
40,as,127
41,that,127
42,cal,126
43,all,122
44,educ,120
45,servic,120
46,learn,120
47,contact,113
48,manag,112
49,faculti,108
50,home,105
